year,state,population,admin,handgun,long_gun,month,multiple,other,permit,totals,city,killed,injured
2013,Missouri,6041142.0,0.0,14577.0,10444.0,6,613.0,465.0,4416.0,32677.0,Kansas City,1,3
2013,Missouri,6041142.0,0.0,14577.0,10444.0,6,613.0,465.0,4416.0,32677.0,Kansas City,1,8
2013,Missouri,6041142.0,0.0,14577.0,10444.0,6,613.0,465.0,4416.0,32677.0,Saint Louis,0,6
2013,Missouri,6041142.0,0.0,26501.0,21600.0,3,1032.0,945.0,9608.0,62321.0,Kansas City,1,3
2013,Missouri,6041142.0,0.0,26501.0,21600.0,3,1032.0,945.0,9608.0,62321.0,Kansas City,0,5
2013,Missouri,6041142.0,0.0,36400.0,24147.0,1,1364.0,1077.0,6121.0,71515.0,Saint Louis,1,3
2013,Nebraska,1867414.0,0.0,74.0,2782.0,10,6.0,19.0,3499.0,6517.0,Omaha,0,4
2013,Nevada,2786547.0,0.0,3358.0,3109.0,9,228.0,176.0,1399.0,8704.0,Las Vegas,0,4
2013,New Jersey,8913735.0,0.0,4332.0,4632.0,12,0.0,154.0,0.0,9118.0,Irvington,3,2
2013,New Jersey,8913735.0,0.0,4332.0,4632.0,12,0.0,154.0,0.0,9118.0,Trenton,1,4
2013,New Jersey,8913735.0,0.0,6036.0,3631.0,8,0.0,198.0,0.0,9865.0,Port Norris,0,4
2013,New Jersey,8913735.0,0.0,6036.0,3631.0,8,0.0,198.0,0.0,9865.0,Montclair,0,4
2013,New Jersey,8913735.0,0.0,6036.0,3631.0,8,0.0,198.0,0.0,9865.0,Newark,2,3
2013,New Jersey,8913735.0,0.0,6528.0,3194.0,7,0.0,241.0,0.0,9963.0,Trenton (Hamilton Township),1,4
2013,New Jersey,8913735.0,0.0,7726.0,4486.0,5,0.0,444.0,0.0,12656.0,Jersey City,0,4
2013,New Jersey,8913735.0,0.0,7726.0,4486.0,5,0.0,444.0,0.0,12656.0,Newark,0,5
2013,New Mexico,2085161.0,0.0,4245.0,3514.0,7,300.0,197.0,967.0,10135.0,Hobbs,0,4
2013,New Mexico,2085161.0,0.0,7683.0,6624.0,1,408.0,321.0,860.0,16998.0,Albuquerque,5,0
2013,New York,19712514.0,0.0,8013.0,20786.0,12,154.0,689.0,2828.0,32657.0,Brooklyn,0,6
2013,New York,19712514.0,0.0,8013.0,20786.0,12,154.0,689.0,2828.0,32657.0,Medford,1,3
2013,New York,19712514.0,67.0,7289.0,22304.0,11,133.0,530.0,2131.0,32643.0,Rochester,0,4
2013,New York,19712514.0,67.0,7289.0,22304.0,11,133.0,530.0,2131.0,32643.0,Brooklyn,4,1
2013,New York,19712514.0,482.0,7890.0,19394.0,10,141.0,516.0,1748.0,30402.0,Buffalo,0,4
2013,New York,19712514.0,424.0,7198.0,16803.0,9,136.0,688.0,1842.0,27247.0,New York,0,4
2013,New York,19712514.0,454.0,7552.0,12961.0,8,144.0,465.0,2164.0,23867.0,Brooklyn,0,4
2013,New York,19712514.0,364.0,7572.0,9719.0,7,103.0,403.0,1896.0,20065.0,Brooklyn,0,4
2013,New York,19712514.0,364.0,7572.0,9719.0,7,103.0,403.0,1896.0,20065.0,Brooklyn,0,5
2013,New York,19712514.0,364.0,7572.0,9719.0,7,103.0,403.0,1896.0,20065.0,Brooklyn,1,3
2013,New York,19712514.0,312.0,7250.0,10414.0,6,112.0,453.0,2451.0,21003.0,Brooklyn,0,9
2013,New York,19712514.0,607.0,10237.0,16789.0,4,138.0,514.0,2706.0,30999.0,New York (Manhattan),1,3
2013,New York,19712514.0,342.0,12598.0,18458.0,3,198.0,605.0,2800.0,35013.0,Brooklyn,1,3
2013,New York,19712514.0,342.0,12598.0,18458.0,3,198.0,605.0,2800.0,35013.0,Mohawk,6,2
2013,North Carolina,9849812.0,0.0,1171.0,28667.0,12,221.0,472.0,24231.0,59061.0,Shelby,0,4
2013,North Carolina,9849812.0,0.0,1171.0,28667.0,12,221.0,472.0,24231.0,59061.0,Statesville,0,4
2013,North Carolina,9849812.0,0.0,737.0,15688.0,10,220.0,322.0,18592.0,40850.0,Southern Pines,1,4
2013,North Carolina,9849812.0,0.0,578.0,12550.0,9,210.0,324.0,16506.0,34609.0,Haw River,0,4
2013,North Carolina,9849812.0,0.0,578.0,12550.0,9,210.0,324.0,16506.0,34609.0,Marion,0,4
2013,North Carolina,9849812.0,0.0,578.0,12550.0,9,210.0,324.0,16506.0,34609.0,Charlotte,0,4
2013,North Carolina,9849812.0,0.0,561.0,9607.0,7,183.0,293.0,19239.0,33798.0,Charlotte,2,2
2013,North Carolina,9849812.0,0.0,594.0,9733.0,6,176.0,312.0,18140.0,32934.0,Greenville,0,5
2013,North Carolina,9849812.0,0.0,594.0,9733.0,6,176.0,312.0,18140.0,32934.0,High Point,0,5
2013,North Carolina,9849812.0,0.0,652.0,11406.0,5,149.0,380.0,22157.0,38695.0,Smithfield,0,4
2013,North Carolina,9849812.0,0.0,635.0,13493.0,4,165.0,517.0,28195.0,46729.0,Charlotte,0,5
2013,Ohio,11567845.0,0.0,26725.0,29854.0,11,1341.0,962.0,0.0,61911.0,Canton,1,3
2013,Ohio,11567845.0,0.0,20526.0,18142.0,9,995.0,765.0,0.0,42579.0,Zanesville,0,4
2013,Ohio,11567845.0,0.0,21681.0,16535.0,8,1064.0,723.0,0.0,41954.0,Toledo,0,4
2013,Ohio,11567845.0,0.0,21099.0,14667.0,7,877.0,772.0,0.0,39440.0,Campbell,0,4
2013,Ohio,11567845.0,0.0,23364.0,15596.0,5,1034.0,849.0,0.0,42751.0,Cincinnati,0,4
2013,Ohio,11567845.0,0.0,31627.0,21579.0,4,1217.0,1266.0,0.0,57639.0,Oberlin,0,4
2013,Ohio,11567845.0,0.0,31627.0,21579.0,4,1217.0,1266.0,0.0,57639.0,Akron,4,0
